File_name,Bug,Time
0xba2bee5b55730adbb06ec4989814abf51e3a1a9d.sol,FALSE,67.42137218
0xa7f7831a7d5f304ae348d83534e8de165448b2a5.sol,FALSE,63.96699166
0xe681bea3f1431f3c763d08d7bd3dae50be45d0b5.sol,FALSE,62.59159184
0x6d4135ce62f28a7e9b93bcb0f68bceee763d16ce.sol,FALSE,61.61605215
0x5438af8fbeff57ed85afbe02fc46a28e3b4edeac.sol,FALSE,58.23372221
0x891eb4de45bb4f8e06fcef9662da4e7eaaca569d.sol,FALSE,58.01606154
0x6fbb138ac2e9f780826ed10cc05211d9506d8ad9.sol,FALSE,57.40649676
0x296c2be52344af40a27fc12c7087af04717adf93.sol,FALSE,56.48780394
0x880c0a9935dd76b67f441ed8ef193ea3d7270f55.sol,FALSE,56.02967048
0x68c824db5a1634940bb838468ff2aee2bda5794b.sol,FALSE,54.62755966
0x15c10c51d86a51021d0683b8359fb20a8ba40b45.sol,FALSE,54.47747016
0xbce0a909fc03f4fa0d5fb38e6cd13f674cfbad31.sol,FALSE,53.72707486
0x820090fce0a9a824054e2809f9d5b41a432a5f95.sol,FALSE,51.67926002
0x9aaebbb0a7d6ce30f1376bb756d5e495a0df3b79.sol,FALSE,51.32284355
0x3c1ce1c005ff289177b7eebb134e5a2ec8f3c580.sol,FALSE,50.7165997
0xde3e1639836152a45d35916e463fd40b02c2ef67.sol,FALSE,50.19394445
0xd97c9b11494722e6212fae4f62e53423fb509810.sol,FALSE,49.97666192
0x12345678979f29ebc99e00bdc5693ddea564ca80.sol,FALSE,49.14559078
0xc9cff883c4cf9258e0441e747f5cc71980f8fce6.sol,FALSE,46.6864624
0x591d02bf8ddf41ef71847a78fd8d39e31c055aa4.sol,FALSE,45.08598161
0xc32c338d4e318c34ad61ab7f4c3ab00d1e48cf6f.sol,FALSE,53.25112462
0xdb2e158b84d0da832e10ffce3c28ebdffad7dbe9.sol,FALSE,53.18307328
0xa1846d48a175eaeea7891557c88c01451b447ada.sol,FALSE,52.77923608
0x2bd9baedf2c6fc4b86c725857ae156cb43fccba6.sol,FALSE,51.5196619
0x565a093f3230ade853c45c5cd7c84344e75b4393.sol,FALSE,49.79537225
0x01b85861a8f278a627a17d86c7c7dfafd9281a15.sol,FALSE,47.90630555
0x874c7d3ca019f303570e7382ffc0b75b0c223e13.sol,FALSE,46.29305792
0x93de4f3807d52b1ba15827611879b8c9ef927974.sol,FALSE,45.87015867
0x3000b6a5dc437096f20ce6c5c3e184672e1b200b.sol,FALSE,45.70972848
0x2c7b4144b737553743c3fc1988b9318eeb809bbb.sol,FALSE,45.70181489
0x4d97423358df9dc7ea18932b1c8a9f2631c1c840.sol,FALSE,45.24420333
0x6bffaa244f49cb15d61dbfa56435209b073b064c.sol,FALSE,43.84086275
0x11716a1f51fad053e9b43da1025e8ace32aee110.sol,FALSE,43.36333323
0x7b3b7383bc88b645bdefd7624d9c6fb981407bf9.sol,FALSE,42.8039484
0xc46d19c06defe3adab78712bbbae08ffaaf1402d.sol,FALSE,42.58205724
0xe007dcd4b81dbef356498e2a1760c7a68a30d7d7.sol,FALSE,41.90627098
0xc28aa435be4894d5bd1215ca67eecb7203aa90bb.sol,FALSE,41.69009304
0xd9aefd94fe932efc8e300eb0d1bc56ae5e590def.sol,FALSE,41.31587481
0x69657e421c993a65e31f571b4ce742fafb318bd4.sol,FALSE,41.305161
0xb218fe9d5ebfca56ee525a7df2e59980374bbeed.sol,FALSE,41.10357904
0x44ea4d7e8e76f71bcc1836793a6493d5a4ef6788.sol,FALSE,40.14465094
0x2def52220e91eb42b2caf8005f7f671dc692bf89.sol,FALSE,39.8421576
0xcba296939d5445b31cb6469b90886bc500bcea62.sol,FALSE,37.90247178
0x0fdf7fa226196b4273558bf7973af2d0256f559a.sol,FALSE,37.26586676
0xd9b3fe4da55ef93c3f741565b8145d33cf2a2881.sol,FALSE,36.61625862
0x55579fbf89114f21812afb65f0fa25dec50a1e6a.sol,FALSE,36.58590341
0xf396de9a6b0a9f29e01e28e4d61c68eaf5448514.sol,FALSE,36.01916409
0x3023868433f6086cd8ce0c4083fe2e11b37ce0b7.sol,TRUE,35.18184853
0x84a260de7e8b75facd51ee77067ca5f0eb3f49b5.sol,FALSE,33.78140116
0xf6a15821e5997b4447b351f9d0336d57facc0965.sol,FALSE,33.32001519
0x43e3073d73b8c9061174f3c2c977e6b4abfb0d06.sol,FALSE,33.26732826
0xa506758544a71943b5e8728d2df8ec9e72473a9a.sol,FALSE,32.85241604
0x85db05588543912832de771f68a5a8ef110c8ac4.sol,FALSE,31.84024787
0x231ccdbc9ff92eb1906a58e7f326e1e3ed8e75f0.sol,FALSE,30.31393242
0x8a807d6061ac959ad32415bfa8e01e0980a6d696.sol,FALSE,30.28274345
