File_name,Bug,Time,,,,,,,,
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8.sol,FALSE,76.954741,,,,,,,,
0x03563574b3839e2cdd6281d8741497ba82fd6739.sol,FALSE,91.8842955,,,,,,,,
0x043bef377cb396756d177fda57f1ff941959a0cd.sol,FALSE,121.3598754,,,,,,,,
0x00ff9c740bac8cad80f1a3b1c4f20d7ea1c92637.sol,FALSE,178.0137863,,,,,,,,
0x00a2409f41fdf485afd23599219c60a77524bba2.sol,FALSE,198.9799466,,,,,,,,
0x09e974b6e99293f5f53c595e8cedda7965611e69.sol,FALSE,162.7058105,,,,,,,,
0x060e73d693bff0b39239a1dc39274b0ca676a701.sol,FALSE,141.2873054,,,,,,,,
0x00888096c1cdeb35bb3772f9080227aa6c9968ad.sol,FALSE,140.6694093,,,,,,,,
0x0925bda166940800af5efd6c7d1136ddefbf0387.sol,FALSE,88.0091352,,,,,,,,
0x46013f02de3339d8f7d743f84b01f3958391829e.sol,FALSE,177.8150496,,,,,,,,
0x02b02759c94496a6103c7112606d1b70c055cc58.sol,FALSE,151.4241304,,,,,,,,
0x33b7a018934c6e90fd63189d7c4517f0f776142f.sol,TRUE,135.3944726,,,,,,,,
0x05feb3b6c5fc0226eaba3f2354de0a79eb7d961a.sol,FALSE,132.3109462,,,,,,,,
0x34858eb7aa12242681810dfbea4dc8e9a239f7bd.sol,TRUE,131.0626979,,,,,,,,
0x1274b84ab87873a65cd0d69ceb557caf8d0a02c8.sol,TRUE,129.6656621,,,,,,,,
0x0653f5c8093647cefb0d9420a482eeff34c2cbd1.sol,TRUE,129.5393817,,,,,,,,
0x039963c07e62eb7af39eeeb871cb2de9cbc65d78.sol,TRUE,126.723042,,,,,,,,
0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e.sol,TRUE,126.1317754,,,,,,,,
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,TRUE,123.8009949,,,,,,,,
0x0459ebad0ba09901fda1441ee72e6cb664257f61.sol,TRUE,123.222379,,,,,,,,
0x1edebb48e3268644833daee4c47edddf305182e3.sol,TRUE,123.1557789,,,,,,,,
0x1d26d256435582548220bbc5f542b7dd87496375.sol,TRUE,118.5380874,,,,,,,,
0x3ed154e1d39ec872721f7183f23df3bf91674681.sol,FALSE,109.4769332,,,,,,,,
0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e.sol,FALSE,92.80023241,,,,,,,,
0x9711758aa54a7915ff7d5204beddb5a8e55a0217.sol,FALSE,86.35221648,,,,,,,,
