[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_04_confused_sign | Analysis started at: 2023-07-13 02:20:56 AM
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Version constraints: ['^0.4.24']
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | solc version: v0.4.24
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Callgraph generation started!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Callgraph generation finished!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Value Range Analysis started
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Generating return summary for constructor
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Return summary generated for constructor
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Range graph generated
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Processed function constructor
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Generating return summary for deposit
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Return summary generated for deposit
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Range graph generated
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Processed function deposit
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Generating return summary for withdraw
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Return summary generated for withdraw
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Range graph generated
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Processed function withdraw
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Generating return summary for migrateTo
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Return summary generated for migrateTo
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | State variable assignement do not exist
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Processed function migrateTo
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Value Range Analysis took 0.001728 seconds
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Value Range Analysis finished
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Dependency detection started!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Dependency detection finished!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Static Analysis took 0.317153 seconds
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Dependency does not exist
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Analysis finished!
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Analysis took 0.317340 seconds
[INFO] | 2023-07-13 02:20:57 AM | analyzer.wallet_04_confused_sign | Analysis finished at: 2023-07-13 02:20:57 AM
