[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Analysis started at: 2023-07-13 02:18:22 AM
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Version constraints: ['^0.4.24']
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | solc version: v0.4.24
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Callgraph generation started!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Callgraph generation finished!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Value Range Analysis started
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Generating return summary for MyContract
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Return summary generated for MyContract
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Range graph generated
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Processed function MyContract
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Generating return summary for sendTo
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Return summary generated for sendTo
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Processed function sendTo
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Value Range Analysis took 0.000394 seconds
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Value Range Analysis finished
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Dependency detection started!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Dependency detection finished!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Static Analysis took 0.161217 seconds
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Dependency does not exist
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Analysis finished!
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Analysis took 0.161358 seconds
[INFO] | 2023-07-13 02:18:22 AM | analyzer.mycontract | Analysis finished at: 2023-07-13 02:18:22 AM
