[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Analysis started at: 2023-07-13 02:20:50 AM
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Version constraints: ['^0.4.21']
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | solc version: v0.4.21
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Callgraph generation started!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Callgraph generation finished!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Value Range Analysis started
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Range graph generated
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Generating return summary for TokenSaleChallenge
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Return summary generated for TokenSaleChallenge
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | State variable assignement do not exist
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Processed function TokenSaleChallenge
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Generating return summary for isComplete
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Return summary generated for isComplete
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | State variable assignement do not exist
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Processed function isComplete
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Generating return summary for buy
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Return summary generated for buy
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Range graph generated
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Processed function buy
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Generating return summary for sell
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Return summary generated for sell
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Range graph generated
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Processed function sell
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Value Range Analysis took 0.002017 seconds
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Value Range Analysis finished
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Dependency detection started!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Dependency detection finished!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Static Analysis took 0.281582 seconds
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Dependency does not exist
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Analysis finished!
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Analysis took 0.281727 seconds
[INFO] | 2023-07-13 02:20:50 AM | analyzer.tokensalechallenge | Analysis finished at: 2023-07-13 02:20:50 AM
