[INFO] | 2023-07-13 02:18:13 AM | analyzer.lotto  | Analysis started at: 2023-07-13 02:18:13 AM
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Version constraints: ['^0.4.18']
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | solc version: v0.4.18
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Callgraph generation started!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Callgraph generation finished!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Value Range Analysis started
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Generating return summary for sendToWinner
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Return summary generated for sendToWinner
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Range graph generated
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Processed function sendToWinner
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Generating return summary for withdrawLeftOver
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Return summary generated for withdrawLeftOver
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Processed function withdrawLeftOver
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Range graph generated
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Processed function slitherConstructorVariables
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Value Range Analysis took 0.000706 seconds
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Value Range Analysis finished
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Dependency detection started!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Dependency detection finished!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Static Analysis took 0.186146 seconds
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Dependency does not exist
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Analysis finished!
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Analysis took 0.186315 seconds
[INFO] | 2023-07-13 02:18:14 AM | analyzer.lotto  | Analysis finished at: 2023-07-13 02:18:14 AM
