[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Analysis started at: 2023-07-13 02:18:50 AM
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Version constraints: ['0.4.24']
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | solc version: v0.4.24
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Callgraph generation started!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Callgraph generation finished!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Value Range Analysis started
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Generating return summary for constructor
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Return summary generated for constructor
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Range graph generated
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Processed function constructor
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Generating return summary for refundAll
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Return summary generated for refundAll
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Processed function refundAll
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Value Range Analysis took 0.000536 seconds
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Value Range Analysis finished
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Dependency detection started!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Dependency detection finished!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Static Analysis took 0.224310 seconds
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Dependency does not exist
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Analysis finished!
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Analysis took 0.224493 seconds
[INFO] | 2023-07-13 02:18:50 AM | analyzer.send_loop | Analysis finished at: 2023-07-13 02:18:50 AM
