[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Analysis started at: 2023-07-13 02:20:53 AM
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Version constraints: ['^0.4.15']
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | solc version: v0.4.15
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Callgraph generation started!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Callgraph generation finished!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Value Range Analysis started
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Generating return summary for Unprotected
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Return summary generated for Unprotected
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Range graph generated
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Processed function Unprotected
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Generating return summary for changeOwner
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Return summary generated for changeOwner
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Range graph generated
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Processed function changeOwner
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Value Range Analysis took 0.000417 seconds
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Value Range Analysis finished
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Dependency detection started!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Dependency detection finished!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Static Analysis took 0.155264 seconds
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Dependency does not exist
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Analysis finished!
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Analysis took 0.155444 seconds
[INFO] | 2023-07-13 02:20:53 AM | analyzer.unprotected0 | Analysis finished at: 2023-07-13 02:20:53 AM
