[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Analysis started at: 2023-07-13 02:18:25 AM
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Version constraints: ['^0.4.24']
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | solc version: v0.4.24
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Callgraph generation started!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Callgraph generation finished!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Value Range Analysis started
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Generating return summary for constructor
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Return summary generated for constructor
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Processed function constructor
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Generating return summary for lockInGuess
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Return summary generated for lockInGuess
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Range graph generated
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Processed function lockInGuess
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Generating return summary for settle
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Return summary generated for settle
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Range graph generated
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Processed function settle
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Value Range Analysis took 0.001236 seconds
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Value Range Analysis finished
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Dependency detection started!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Dependency detection finished!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Static Analysis took 0.335019 seconds
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Dependency does not exist
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Analysis finished!
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Analysis took 0.335180 seconds
[INFO] | 2023-07-13 02:18:25 AM | analyzer.old_blockhash | Analysis finished at: 2023-07-13 02:18:25 AM
