[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Analysis started at: 2023-07-13 02:17:51 AM
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Version constraints: ['^0.4.16']
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | solc version: v0.4.16
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Callgraph generation started!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Callgraph generation finished!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Value Range Analysis started
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Generating return summary for EthTxOrderDependenceMinimal
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Return summary generated for EthTxOrderDependenceMinimal
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Range graph generated
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Processed function EthTxOrderDependenceMinimal
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Generating return summary for setReward
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Return summary generated for setReward
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Range graph generated
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Processed function setReward
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Generating return summary for claimReward
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Return summary generated for claimReward
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Range graph generated
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Processed function claimReward
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Value Range Analysis took 0.000770 seconds
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Value Range Analysis finished
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Dependency detection started!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Dependency detection finished!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Static Analysis took 0.242095 seconds
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Dependency does not exist
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Analysis finished!
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Analysis took 0.242244 seconds
[INFO] | 2023-07-13 02:17:51 AM | analyzer.eth_tx_order_dependence_minimal | Analysis finished at: 2023-07-13 02:17:51 AM
