[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Analysis started at: 2023-07-13 02:20:51 AM
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Version constraints: ['^0.4.18']
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | solc version: v0.4.18
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Callgraph generation started!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Callgraph generation finished!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Value Range Analysis started
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Generating return summary for Token
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Return summary generated for Token
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Range graph generated
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Processed function Token
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Generating return summary for transfer
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Return summary generated for transfer
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Range graph generated
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Processed function transfer
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Generating return summary for balanceOf
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Return summary generated for balanceOf
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | State variable assignement do not exist
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Processed function balanceOf
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Value Range Analysis took 0.000862 seconds
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Value Range Analysis finished
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Dependency detection started!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Dependency detection finished!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Static Analysis took 0.221017 seconds
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Dependency does not exist
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Analysis finished!
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Analysis took 0.221166 seconds
[INFO] | 2023-07-13 02:20:51 AM | analyzer.token  | Analysis finished at: 2023-07-13 02:20:51 AM
