[INFO] | 2023-07-13 02:20:55 AM | analyzer.wallet_03_wrong_constructor | Analysis started at: 2023-07-13 02:20:55 AM
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Version constraints: ['^0.4.24']
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | solc version: v0.4.24
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Callgraph generation started!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Callgraph generation finished!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Value Range Analysis started
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Generating return summary for initWallet
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Return summary generated for initWallet
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Range graph generated
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Processed function initWallet
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Generating return summary for deposit
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Return summary generated for deposit
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Range graph generated
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Processed function deposit
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Generating return summary for withdraw
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Return summary generated for withdraw
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Range graph generated
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Processed function withdraw
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Generating return summary for migrateTo
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Return summary generated for migrateTo
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | State variable assignement do not exist
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Processed function migrateTo
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Value Range Analysis took 0.001661 seconds
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Value Range Analysis finished
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Dependency detection started!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Dependency detection finished!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Static Analysis took 0.317171 seconds
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Dependency does not exist
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Analysis finished!
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Analysis took 0.317313 seconds
[INFO] | 2023-07-13 02:20:56 AM | analyzer.wallet_03_wrong_constructor | Analysis finished at: 2023-07-13 02:20:56 AM
