[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis started at: 2023-07-13 02:17:22 AM
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Version constraints: ['^0.4.19']
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | solc version: v0.4.19
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Callgraph generation started!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Callgraph generation finished!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Value Range Analysis started
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for fallback
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for fallback
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | State variable assignement do not exist
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function fallback
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for GetFreebie
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for GetFreebie
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | State variable assignement do not exist
