[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Analysis started at: 2023-07-13 02:15:48 AM
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Version constraints: ['^0.4.19']
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | solc version: v0.4.19
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Callgraph generation started!
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Callgraph generation finished!
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Value Range Analysis started
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for SetMinSum
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for SetMinSum
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function SetMinSum
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for SetLogFile
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for SetLogFile
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function SetLogFile
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for Initialized
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for Initialized
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function Initialized
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function slitherConstructorVariables
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for AddMessage
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for AddMessage
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function AddMessage
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for Deposit
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for Deposit
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-13 02:15:48 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function Deposit
