[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis started at: 2023-07-13 02:16:26 AM
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | solc version: v0.4.19
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Callgraph generation started!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Callgraph generation finished!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Value Range Analysis started
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Range graph generated
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for fallback
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for fallback
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function fallback
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for redeem
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for redeem
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function redeem
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for withdraw
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for withdraw
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Range graph generated
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function withdraw
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for Command
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for Command
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function Command
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Range graph generated
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function slitherConstructorVariables
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Value Range Analysis took 0.001282 seconds
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Value Range Analysis finished
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Dependency detection started!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Dependency detection finished!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Static Analysis took 0.282165 seconds
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Dependency does not exist
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis finished!
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis took 0.282310 seconds
[INFO] | 2023-07-13 02:16:26 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis finished at: 2023-07-13 02:16:26 AM
