[INFO] | 2023-07-13 02:16:46 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Analysis started at: 2023-07-13 02:16:46 AM
[INFO] | 2023-07-13 02:16:46 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Version constraints: ['^0.4.16']
[INFO] | 2023-07-13 02:16:46 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | solc version: v0.4.16
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Callgraph generation started!
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Callgraph generation finished!
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Value Range Analysis started
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for Owned
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for Owned
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Range graph generated
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function Owned
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for acceptOwnership
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for acceptOwnership
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Range graph generated
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function acceptOwnership
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for onlyOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for onlyOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function onlyOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for Owned
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for Owned
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Range graph generated
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function Owned
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for acceptOwnership
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for acceptOwnership
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Range graph generated
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function acceptOwnership
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for Marriage
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for Marriage
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Range graph generated
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function Marriage
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for numberOfMajorEvents
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for numberOfMajorEvents
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function numberOfMajorEvents
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for numberOfMessages
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for numberOfMessages
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function numberOfMessages
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for onlyOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for onlyOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function onlyOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for areMarried
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for areMarried
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function areMarried
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for changeOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for changeOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Range graph generated
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function changeOwner
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for execute
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Return summary generated for execute
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | State variable assignement do not exist
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Processed function execute
[INFO] | 2023-07-13 02:16:47 AM | analyzer.0x958a8f594101d2c0485a52319f29b2647f2ebc06 | Generating return summary for changeOwner
