[INFO] | 2023-07-13 02:18:30 AM | analyzer.parity_wallet_bug_1 | Analysis started at: 2023-07-13 02:18:30 AM
[INFO] | 2023-07-13 02:18:31 AM | analyzer.parity_wallet_bug_1 | Version constraints: ['0.4.9']
[INFO] | 2023-07-13 02:18:31 AM | analyzer.parity_wallet_bug_1 | solc version: v0.4.9
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Callgraph generation started!
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Callgraph generation finished!
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Storage dependency graph generation started!
[WARNING] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Issues with getting the high level call destination address
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Value Range Analysis started
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for revoke
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for revoke
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function revoke
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for changeOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for changeOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function changeOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for addOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for addOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function addOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for removeOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for removeOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function removeOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for changeRequirement
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for changeRequirement
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function changeRequirement
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for isOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for isOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function isOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for hasConfirmed
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for hasConfirmed
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function hasConfirmed
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for setDailyLimit
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for setDailyLimit
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function setDailyLimit
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for execute
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for execute
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function execute
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for confirm
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for confirm
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function confirm
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for fallback
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for fallback
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function fallback
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for initMultiowned
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for initMultiowned
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Range graph generated
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function initMultiowned
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for revoke
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for revoke
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function revoke
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for getOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for getOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function getOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for isOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for isOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function isOwner
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for hasConfirmed
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for hasConfirmed
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function hasConfirmed
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for create
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for create
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function create
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Generating return summary for confirmAndCheck
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Return summary generated for confirmAndCheck
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Range graph generated
[INFO] | 2023-07-13 02:18:32 AM | analyzer.parity_wallet_bug_1 | Processed function confirmAndCheck
