[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Analysis started at: 2023-07-13 02:17:53 AM
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Version constraints: ['^0.4.22']
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | solc version: v0.4.22
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Callgraph generation started!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Callgraph generation finished!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Value Range Analysis started
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Range graph generated
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Generating return summary for constructor
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Return summary generated for constructor
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | State variable assignement do not exist
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Processed function constructor
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Generating return summary for solve
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Return summary generated for solve
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | State variable assignement do not exist
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Processed function solve
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Value Range Analysis took 0.000666 seconds
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Value Range Analysis finished
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Dependency detection started!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Dependency detection finished!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Static Analysis took 0.183244 seconds
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Dependency does not exist
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Analysis finished!
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Analysis took 0.183418 seconds
[INFO] | 2023-07-13 02:17:53 AM | analyzer.FindThisHash | Analysis finished at: 2023-07-13 02:17:53 AM
