[INFO] | 2023-07-13 02:16:04 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis started at: 2023-07-13 02:16:04 AM
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | solc version: v0.4.19
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Callgraph generation started!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Callgraph generation finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Value Range Analysis started
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for SetMinSum
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for SetMinSum
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function SetMinSum
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for SetLogFile
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for SetLogFile
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function SetLogFile
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for Initialized
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for Initialized
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function Initialized
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function slitherConstructorVariables
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for AddMessage
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for AddMessage
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function AddMessage
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for Deposit
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for Deposit
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function Deposit
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for Collect
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for Collect
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function Collect
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for fallback
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for fallback
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function fallback
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Value Range Analysis took 0.002989 seconds
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Value Range Analysis finished
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Dependency detection started!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | DAO dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and SetLogFile
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | DAO dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and Collect
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Dependency detection finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Static Analysis took 0.495230 seconds
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Dependency exists
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Invoking symbolic executor!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Symbolic execution took 0.732872 seconds
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Symbolic execution finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis finished!
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis took 1.228476 seconds
[INFO] | 2023-07-13 02:16:05 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis finished at: 2023-07-13 02:16:05 AM
