[INFO] | 2023-07-13 02:17:44 AM | analyzer.etheraffle | Analysis started at: 2023-07-13 02:17:44 AM
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Version constraints: ['^0.4.16']
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | solc version: v0.4.16
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Callgraph generation started!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Callgraph generation finished!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Interprocedural CFG generation started!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Interprocedural CFG generation finished!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Storage dependency graph generation started!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Storage dependency graph generation finished!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Value Range Analysis started
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for Ethraffle_v4b
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for Ethraffle_v4b
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function Ethraffle_v4b
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for chooseWinner
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for chooseWinner
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function chooseWinner
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for getRefund
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for getRefund
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function getRefund
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for endRaffle
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for endRaffle
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function endRaffle
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for togglePause
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for togglePause
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function togglePause
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for kill
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for kill
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | State variable assignement do not exist
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function kill
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function slitherConstructorVariables
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for buyTickets
